"filename", "language", "Python", "comment", "blank", "total"
"f:\Resume_Projects\Ecommerce\backend\backend\backend\__init__.py", "Python", 0, 0, 1, 1
"f:\Resume_Projects\Ecommerce\backend\backend\backend\asgi.py", "Python", 4, 8, 5, 17
"f:\Resume_Projects\Ecommerce\backend\backend\backend\settings.py", "Python", 99, 27, 33, 159
"f:\Resume_Projects\Ecommerce\backend\backend\backend\urls.py", "Python", 15, 0, 2, 17
"f:\Resume_Projects\Ecommerce\backend\backend\backend\wsgi.py", "Python", 4, 8, 5, 17
"f:\Resume_Projects\Ecommerce\backend\backend\manage.py", "Python", 15, 3, 5, 23
"f:\Resume_Projects\Ecommerce\backend\backend\product\__init__.py", "Python", 0, 0, 1, 1
"f:\Resume_Projects\Ecommerce\backend\backend\product\admin.py", "Python", 4, 1, 2, 7
"f:\Resume_Projects\Ecommerce\backend\backend\product\apps.py", "Python", 4, 0, 3, 7
"f:\Resume_Projects\Ecommerce\backend\backend\product\migrations\0001_initial.py", "Python", 33, 1, 7, 41
"f:\Resume_Projects\Ecommerce\backend\backend\product\migrations\0002_remove_product_category.py", "Python", 11, 1, 6, 18
"f:\Resume_Projects\Ecommerce\backend\backend\product\migrations\0003_product_category.py", "Python", 13, 1, 6, 20
"f:\Resume_Projects\Ecommerce\backend\backend\product\migrations\0004_rename_price_product_buying_price_product_discount_and_more.py", "Python", 22, 1, 6, 29
"f:\Resume_Projects\Ecommerce\backend\backend\product\migrations\__init__.py", "Python", 0, 0, 1, 1
"f:\Resume_Projects\Ecommerce\backend\backend\product\models.py", "Python", 23, 1, 3, 27
"f:\Resume_Projects\Ecommerce\backend\backend\product\serializers.py", "Python", 25, 0, 3, 28
"f:\Resume_Projects\Ecommerce\backend\backend\product\tests.py", "Python", 1, 1, 2, 4
"f:\Resume_Projects\Ecommerce\backend\backend\product\urls.py", "Python", 9, 0, 0, 9
"f:\Resume_Projects\Ecommerce\backend\backend\product\views.py", "Python", 43, 0, 5, 48
"f:\Resume_Projects\Ecommerce\backend\backend\user\__init__.py", "Python", 0, 0, 1, 1
"f:\Resume_Projects\Ecommerce\backend\backend\user\admin.py", "Python", 5, 1, 0, 6
"f:\Resume_Projects\Ecommerce\backend\backend\user\apps.py", "Python", 4, 0, 3, 7
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0001_initial.py", "Python", 30, 1, 7, 38
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0002_rename_first_name_newuser_name_remove_newuser_about_and_more.py", "Python", 25, 1, 6, 32
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0003_orders.py", "Python", 25, 1, 6, 32
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0004_newuser_address_line_1_newuser_address_line_2_and_more.py", "Python", 37, 1, 6, 44
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0005_orders_quantity.py", "Python", 12, 1, 6, 19
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0006_remove_newuser_address_line_1_and_more.py", "Python", 65, 1, 6, 72
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0007_newuser_address_line_1_newuser_address_line_2_and_more.py", "Python", 37, 1, 6, 44
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0008_address_remove_newuser_address_line_1_and_more.py", "Python", 78, 1, 6, 85
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0009_alter_orders_delivery_address.py", "Python", 13, 1, 6, 20
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0010_remove_orders_delivery_address.py", "Python", 11, 1, 6, 18
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0011_remove_newuser_address_orders_delivery_address.py", "Python", 17, 1, 6, 24
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0012_remove_orders_delivery_address.py", "Python", 11, 1, 6, 18
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\0013_newuser_address_orders_delivery_address.py", "Python", 18, 1, 6, 25
"f:\Resume_Projects\Ecommerce\backend\backend\user\migrations\__init__.py", "Python", 0, 0, 1, 1
"f:\Resume_Projects\Ecommerce\backend\backend\user\models.py", "Python", 57, 0, 14, 71
"f:\Resume_Projects\Ecommerce\backend\backend\user\serializers.py", "Python", 40, 0, 5, 45
"f:\Resume_Projects\Ecommerce\backend\backend\user\tests.py", "Python", 1, 1, 2, 4
"f:\Resume_Projects\Ecommerce\backend\backend\user\urls.py", "Python", 10, 0, 2, 12
"f:\Resume_Projects\Ecommerce\backend\backend\user\views.py", "Python", 63, 0, 4, 67
"Total", "-", 884, 68, 207, 1159