"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "XML", "Markdown", "JSON", "JSON with Comments", "Properties", "comment", "blank", "total"
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 16, 39
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\components\Cart.jsx", "JavaScript JSX", 0, 0, 74, 0, 0, 0, 0, 0, 0, 3, 77
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\components\Footer.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\components\FooterBanner.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\components\HeroBanner.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\components\Layout.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\components\Navbar.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\components\Orders.jsx", "JavaScript JSX", 0, 0, 94, 0, 0, 0, 0, 0, 1, 3, 98
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\components\Product.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\components\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\context\Context.jsx", "JavaScript JSX", 0, 0, 148, 0, 0, 0, 0, 0, 0, 3, 151
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 8
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\lib\getStripe.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\lib\utils.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 5, 24
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\next.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1091, 0, 0, 0, 1, 1092
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\package.json", "JSON", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\public\thirteen.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\_app.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\_document.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\api\hello.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\api\stripe.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 1, 3, 50
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\index.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\login.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\placeorder.jsx", "JavaScript JSX", 0, 0, 105, 0, 0, 0, 0, 0, 0, 5, 110
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\product\[id].jsx", "JavaScript JSX", 0, 0, 89, 0, 0, 0, 0, 0, 0, 2, 91
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\signup.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\sucess.jsx", "JavaScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 20, 5, 65
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\pages\user.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 30
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Resume_Projects\Ecommerce\frontend\ecommerce\src\styles\globals.css", "CSS", 1038, 0, 0, 0, 0, 0, 0, 0, 10, 68, 1116
"Total", "-", 1038, 146, 835, 3, 23, 1115, 4, 2, 39, 143, 3348